0
2001
# eps (GeV/fm^3)  P (GeV/fm^3)      s (fm^-3)      n_b (fm^-3)      x                T (GeV)       mu_b (GeV)     mu_s (GeV)      c_2^2            deps/dT|(n/s)
   0.0            0.0              0.0            0.0            0.0               0.0            0.0            0.0              0.0                       0.0
   0.1870000000   0.0313892441     1.5125409916   0.0000000000   0.0000000000	   0.1386802179   0.0000000000   0.0000000000	  0.17673905059147155        4.3407681058128649     
   0.1890000000   0.0317428846     1.5263816142   0.0000000000   0.0000000000	   0.1391395260   0.0000000000   0.0000000000	  0.17690144159116003        4.3679862696920635     
   0.1910000000   0.0320968498     1.5402000708   0.0000000000   0.0000000000	   0.1395959880   0.0000000000   0.0000000000	  0.17706379930252708        4.3950713156568826     
   0.1930000000   0.0324511397     1.5539966098  -0.0000000000   0.0000000000	   0.1400496522   0.0000000000   0.0000000000	  0.17722609737048589        4.4220265116436641     
   0.1950000000   0.0328057541     1.5677714748  -0.0000000000   0.0000000000	   0.1405005658   0.0000000000   0.0000000000	  0.17738831051412954        4.4488550430428875     
   0.1970000000   0.0331606928     1.5815249036  -0.0000000000   0.0000000000	   0.1409487747   0.0000000000   0.0000000000	  0.17755041463940044        4.4755599811320330     
   0.1990000000   0.0335159556     1.5952571291   0.0000000000   0.0000000000	   0.1413943231   0.0000000000   0.0000000000	  0.17771238681639701        4.5021442887148266     
   0.2010000000   0.0338715421     1.6089683791   0.0000000000   0.0000000000	   0.1418372542   0.0000000000   0.0000000000	  0.17787420511573759        4.5286108382415327     
   0.2030000000   0.0342274522     1.6226588768   0.0000000000   0.0000000000	   0.1422776097   0.0000000000   0.0000000000	  0.17803584866607322        4.5549624028613627     
   0.2050000000   0.0345836853     1.6363288405  -0.0000000000   0.0000000000	   0.1427154304   0.0000000000   0.0000000000	  0.17819729753817920        4.5812016713228703     
   0.2070000000   0.0349402412     1.6499784841  -0.0000000000   0.0000000000	   0.1431507558   0.0000000000   0.0000000000	  0.17835853278911082        4.6073312377560534     
   0.2090000000   0.0352971192     1.6636080172  -0.0000000000   0.0000000000	   0.1435836244   0.0000000000   0.0000000000	  0.17851953636920007        4.6333536139640152     
   0.2110000000   0.0356543191     1.6772176451  -0.0000000000   0.0000000000	   0.1440140735   0.0000000000   0.0000000000	  0.17868029110077152        4.6592712301143067     
   0.2130000000   0.0360118401     1.6908075689   0.0000000000   0.0000000000	   0.1444421395   0.0000000000   0.0000000000	  0.17884078064328038        4.6850864377332533     
   0.2150000000   0.0363696819     1.7043779859   0.0000000000   0.0000000000	   0.1448678578   0.0000000000   0.0000000000	  0.17900098946047097        4.7108015124858857     
   0.2170000000   0.0367278438     1.7179290892   0.0000000000   0.0000000000	   0.1452912630   0.0000000000   0.0000000000	  0.17916090278816871        4.7364186569302662     
   0.2190000000   0.0370863253     1.7314610686   0.0000000000   0.0000000000	   0.1457123886   0.0000000000   0.0000000000	  0.17932050660771476        4.7619400026395624     
   0.2210000000   0.0374451256     1.7449741098   0.0000000000   0.0000000000	   0.1461312674   0.0000000000   0.0000000000	  0.17947978758754832        4.7873676161337215     
   0.2230000000   0.0378042441     1.7584683953   0.0000000000   0.0000000000	   0.1465479312   0.0000000000   0.0000000000	  0.17963873312847461        4.8127034925990415     
   0.2250000000   0.0381636802     1.7719441039  -0.0000000000   0.0000000000	   0.1469624111   0.0000000000   0.0000000000	  0.17979733124553832        4.8379495689178071     
   0.2270000000   0.0385234331     1.7854014113  -0.0000000000   0.0000000000	   0.1473747375   0.0000000000   0.0000000000	  0.17995557059559483        4.8631077195659698     
   0.2290000000   0.0388835022     1.7988404898   0.0000000000   0.0000000000	   0.1477849399   0.0000000000   0.0000000000	  0.18011344044574712        4.8881797591663529     
   0.2310000000   0.0392438866     1.8122615084  -0.0000000000   0.0000000000	   0.1481930473   0.0000000000   0.0000000000	  0.18027093062263899        4.9131674490347654     
   0.2330000000   0.0396045855     1.8256646333  -0.0000000000   0.0000000000	   0.1485990878   0.0000000000   0.0000000000	  0.18042803152861048        4.9380724924591330     
   0.2350000000   0.0399655983     1.8390500276   0.0000000000   0.0000000000	   0.1490030888   0.0000000000   0.0000000000	  0.18058473409239897        4.9628965411559811     
   0.2370000000   0.0403269241     1.8524178514   0.0000000000   0.0000000000	   0.1494050774   0.0000000000   0.0000000000	  0.18074102975385167        4.9876411960397951     
   0.2390000000   0.0406885621     1.8657682620   0.0000000000   0.0000000000	   0.1498050796   0.0000000000   0.0000000000	  0.18089691041480024        5.0123080124267334     
   0.2410000000   0.0410228762     1.8791017479   0.0000000000   0.0000000000	   0.1500838773   0.0000000000   0.0000000000	  0.15394518320042322        12.206304275791751     
   0.2430000000   0.0413306788     1.8924203793   0.0000000000   0.0000000000	   0.1502471025   0.0000000000   0.0000000000	  0.15385763506618169        12.299814555971455     
   0.2450000000   0.0416383075     1.9057246043   0.0000000000   0.0000000000	   0.1504090921   0.0000000000   0.0000000000	  0.15377128461285458        12.393241099095723     
   0.2470000000   0.0419457647     1.9190145623   0.0000000000   0.0000000000	   0.1505698656   0.0000000000   0.0000000000	  0.15368610776370176        12.486584442920025     
   0.2490000000   0.0422530527     1.9322903901   0.0000000000   0.0000000000	   0.1507294422   0.0000000000   0.0000000000	  0.15360208110016763        12.579845118541410     
   0.2510000000   0.0425601738     1.9455522223   0.0000000000   0.0000000000	   0.1508878407   0.0000000000   0.0000000000	  0.15351918183909125        12.673023650519049     
   0.2530000000   0.0428671301     1.9588001907   0.0000000000   0.0000000000	   0.1510450793   0.0000000000   0.0000000000	  0.15343738781086591        12.766120556991945     
   0.2550000000   0.0431739240     1.9720344253   0.0000000000   0.0000000000	   0.1512011759   0.0000000000   0.0000000000	  0.15335667743851208        12.859136349793705     
   0.2570000000   0.0434805575     1.9852550535   0.0000000000   0.0000000000	   0.1513561479   0.0000000000   0.0000000000	  0.15327702971760684        12.952071534565071     
   0.2590000000   0.0437870328     1.9984622006   0.0000000000   0.0000000000	   0.1515100124   0.0000000000   0.0000000000	  0.15319842419704496        13.044926610862994     
   0.2610000000   0.0440933519     2.0116559896   0.0000000000   0.0000000000	   0.1516627860   0.0000000000   0.0000000000	  0.15312084096056905        13.137702072268876     
   0.2630000000   0.0443995168     2.0248365417   0.0000000000   0.0000000000	   0.1518144850   0.0000000000   0.0000000000	  0.15304426060905527        13.230398406492357     
   0.2650000000   0.0447055296     2.0380039758   0.0000000000   0.0000000000	   0.1519651253   0.0000000000   0.0000000000	  0.15296866424350608        13.323016095474046     
   0.2670000000   0.0450113921     2.0511584090   0.0000000000   0.0000000000	   0.1521147224   0.0000000000   0.0000000000	  0.15289403344871727        13.415555615485536     
   0.2690000000   0.0453171063     2.0642999563   0.0000000000   0.0000000000	   0.1522632916   0.0000000000   0.0000000000	  0.15282035027759289        13.508017437227361     
   0.2710000000   0.0456226741     2.0774287309   0.0000000000   0.0000000000	   0.1524108478   0.0000000000   0.0000000000	  0.15274759723590073        13.600402025939522     
   0.2730000000   0.0459280973     2.0905448441   0.0000000000   0.0000000000	   0.1525574054   0.0000000000   0.0000000000	  0.15267575726847774        13.692709841434167     
   0.2750000000   0.0462333777     2.1036484054   0.0000000000   0.0000000000	   0.1527029787   0.0000000000   0.0000000000	  0.15260481374426926        13.784941338278479     
   0.2770000000   0.0465385171     2.1167395226   0.0000000000   0.0000000000	   0.1528475817   0.0000000000   0.0000000000	  0.15253475044363662        13.877096965822886     
   0.2790000000   0.0468435173     2.1298183016   0.0000000000   0.0000000000	   0.1529912279   0.0000000000   0.0000000000	  0.15246555154529218        13.969177168304258     
   0.2810000000   0.0471483799     2.1428848468   0.0000000000   0.0000000000	   0.1531339308   0.0000000000   0.0000000000	  0.15239720161392309        14.061182384930863     
   0.2830000000   0.0474531066     2.1559392610   0.0000000000   0.0000000000	   0.1532757033   0.0000000000   0.0000000000	  0.15232968558825635        14.153113049966311     
   0.2850000000   0.0477576991     2.1689816451   0.0000000000   0.0000000000	   0.1534165583   0.0000000000   0.0000000000	  0.15226298876958216        14.244969592811248     
   0.2870000000   0.0480621591     2.1820120988   0.0000000000   0.0000000000	   0.1535565083   0.0000000000   0.0000000000	  0.15219709681060456        14.336752438093040     
   0.2890000000   0.0483664880     2.1950307199   0.0000000000   0.0000000000	   0.1536955656   0.0000000000   0.0000000000	  0.15213199570518449        14.428462005706875     
   0.2910000000   0.0486706876     2.2080376050   0.0000000000   0.0000000000	   0.1538337421   0.0000000000   0.0000000000	  0.15206767177750138        14.520098710947579     
   0.2930000000   0.0489747592     2.2210328490   0.0000000000   0.0000000000	   0.1539710497   0.0000000000   0.0000000000	  0.15200411167363673        14.611662964635210     
   0.2950000000   0.0492787045     2.2340165456   0.0000000000   0.0000000000	   0.1541074998   0.0000000000   0.0000000000	  0.15194130234765180        14.703155172851064     
   0.2970000000   0.0495825249     2.2469887869   0.0000000000   0.0000000000	   0.1542431039   0.0000000000   0.0000000000	  0.15187923105883816        14.794575737527506     
   0.2990000000   0.0498862219     2.2599496636   0.0000000000   0.0000000000	   0.1543778729   0.0000000000   0.0000000000	  0.15181788535858923        14.885925056174003     
   0.3010000000   0.0501897969     2.2728992654   0.0000000000   0.0000000000	   0.1545118177   0.0000000000   0.0000000000	  0.15175725308291879        14.977203522032577     
   0.3030000000   0.0504932513     2.2858376802   0.0000000000   0.0000000000	   0.1546449489   0.0000000000   0.0000000000	  0.15169732234421671        15.068411524145223     
   0.3050000000   0.0507965866     2.2987649950   0.0000000000   0.0000000000	   0.1547772771   0.0000000000   0.0000000000	  0.15163808152322422        15.159549447428185     
   0.3070000000   0.0510998041     2.3116812953   0.0000000000   0.0000000000	   0.1549088124   0.0000000000   0.0000000000	  0.15157951926171176        15.250617672700626     
   0.3090000000   0.0514029051     2.3245866655   0.0000000000   0.0000000000	   0.1550395648   0.0000000000   0.0000000000	  0.15152162445452291        15.341616576803425     
   0.3110000000   0.0517058910     2.3374811887   0.0000000000   0.0000000000	   0.1551695443   0.0000000000   0.0000000000	  0.15146438624501238        15.432546532397511     
   0.3130000000   0.0520087631     2.3503649470   0.0000000000   0.0000000000	   0.1552987605   0.0000000000   0.0000000000	  0.15140779400915488        15.523407908938038     
   0.3150000000   0.0523115226     2.3632380211   0.0000000000   0.0000000000	   0.1554272228   0.0000000000   0.0000000000	  0.15135183736218347        15.614201071382629     
   0.3170000000   0.0526141708     2.3761004907   0.0000000000   0.0000000000	   0.1555549406   0.0000000000   0.0000000000	  0.15129650614327358        15.704926381147702     
   0.3190000000   0.0529167090     2.3889524344   0.0000000000   0.0000000000	   0.1556819230   0.0000000000   0.0000000000	  0.15124179041153013        15.795584195941840     
   0.3210000000   0.0532191383     2.4017939296   0.0000000000   0.0000000000	   0.1558081789   0.0000000000   0.0000000000	  0.15118768043995143        15.886174869822284     
   0.3230000000   0.0535214601     2.4146250528   0.0000000000   0.0000000000	   0.1559337172   0.0000000000   0.0000000000	  0.15113416670961188        15.976698753249771     
   0.3250000000   0.0538236754     2.4274458794   0.0000000000   0.0000000000	   0.1560585464   0.0000000000   0.0000000000	  0.15108123990404579        16.067156193144559     
   0.3270000000   0.0541257854     2.4402564836   0.0000000000   0.0000000000	   0.1561826750   0.0000000000   0.0000000000	  0.15102889090370231        16.157547532930746     
   0.3290000000   0.0544277913     2.4530569389   0.0000000000   0.0000000000	   0.1563061114   0.0000000000   0.0000000000	  0.15097711078082271        16.247873112601152     
   0.3310000000   0.0547296942     2.4658473175   0.0000000000   0.0000000000	   0.1564288638   0.0000000000   0.0000000000	  0.15092589079423510        16.338133268759428     
   0.3330000000   0.0550314952     2.4786276909   0.0000000000   0.0000000000	   0.1565509401   0.0000000000   0.0000000000	  0.15087522238444456        16.428328334671964     
   0.3350000000   0.0553331954     2.4913981295   0.0000000000   0.0000000000	   0.1566723483   0.0000000000   0.0000000000	  0.15082509716885811        16.518458640316997     
   0.3370000000   0.0556347959     2.5041587028   0.0000000000   0.0000000000	   0.1567930960   0.0000000000   0.0000000000	  0.15077550693715208        16.608524512432368     
   0.3390000000   0.0559362978     2.5169094795   0.0000000000   0.0000000000	   0.1569131909   0.0000000000   0.0000000000	  0.15072644364678991        16.698526274562880     
